INSTITUTE_NAME,Latitude,Longitude,Unnamed: 3
GABTALI G S JUNIR SCHOOL,23.7668241,90.5823738,✅ Valid
NAYAVIZORA B. N. A HIGH SCHOOL,21.9694866,90.1165034,✅ Valid
DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,22.1336388,90.3344876,✅ Valid
ALIRBANDAR MOHAMMAD MENAZ UDDIN HIGH SCHOOL,23.6257887,90.520022,✅ Valid
NALBUNIA AGAPARA JUNIOR HIGH SCHOOL,22.0237385,90.1307797,✅ Valid
BEHALA HIGH SCHOOL,22.0115614,90.1262136,✅ Valid
LOCHA JUUNIOR HIGH SCHOOL,22.0820587,90.2322333,✅ Valid
BEGUM NOURJAHAN  GIRLS HIGH SCHOOL,23.7658739,90.3584273,✅ Valid
AMTALI A.K. PILOT GOVT. HIGH SCHOOL,22.1419105,90.2326106,✅ Valid
CHOTONILGONG HIGH SCHOOL,22.1338216,90.2362105,✅ Valid
SHAKHRIA HIGH SCHOOL,22.2476095,90.3224444,✅ Valid
GULSHA KHALIISHAQUE HIGH SCHOOL,22.183322,90.0602137,✅ Valid
CHARAKGACHIA SECONDARY SCHOOL,22.0840306,90.1540544,✅ Valid
EAST CHILA RAHMANIA HIGH SCHOOL,22.1306814,89.9606907,✅ Valid
TARIKATA SECONDARY SCHOOL,22.0682063,90.2076888,✅ Valid
CHILA HASHEM BISWAS HIGH SCHOOL,22.0808258,90.2757749,✅ Valid
CHALAVANGA HIGH SCHOOL PRO,22.0820587,90.2322333,✅ Valid
MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL,23.6015254,90.9871572,✅ Valid
GOZ-KHALI(MLT) HIGH SCHOOL,22.1585533,90.1373228,✅ Valid
KAUNIA IBRAHIM ACADEMY,22.1216105,90.2581007,✅ Valid
TALTALI  GOVT. HIGH SCHOOL,21.9851977,90.0841587,✅ Valid
ARPAN GASHIA HIGH SCHOOL,22.0948943,90.2063525,✅ Valid
CHHOTO BOGI P.K HIGH SCHOOL,22.0584703,90.1132094,✅ Valid
SHAHEED SOHRAWARDI SECONDARY SCHOOL,22.8168901,89.5607675,✅ Valid
KALIBARI JR GIRLS HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
HALDIA GRUDAL BANGABUNDHU HIGH SCHOOL,24.1307579,89.0740371,✅ Valid
KUKUA ADARSHA HIGH SCHOOL,22.1338216,90.2362105,✅ Valid
GAZIPUR BANDAIR HIGH SCHOOL,22.1660072,90.3350803,✅ Valid
KHEKUANI HIGH SCHOOL,22.1683495,90.1496592,✅ Valid
KEWABUNIA SECONDARY SCHOOL,22.2300442,90.3071655,✅ Valid
ATHARAGACHIA SECONDARY SCHOOL,22.1572455,90.1146166,✅ Valid
KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,23.8162011,90.6968268,✅ Valid
HALIMA KHATUN G R GIRLS HIGH SCHOOL,22.7013657,90.3659129,✅ Valid
PATAKTA NURUL HAQUE HIGH SCHOOL,23.8502539,90.5817235,✅ Valid
KALAGACHIA HORIDRA BARIA AKOTA JUNIOR  SCHOOL,23.8162011,90.6968268,✅ Valid
BAGIR HAT SECONDARY SCHOOL.,22.0588557,90.1137458,✅ Valid
GHATKHALI HIGH SCHOOL,22.1650212,90.2512777,✅ Valid
LAUPARA SAGAR SAIKAT HIGH SCHOOL,22.2210031,90.1977162,✅ Valid
KHAGDON JUNIOR HIGH SCHOOL,22.1546912,90.1056242,✅ Valid
ALL HAZ NASIR UDDIN JUNIOR SCHOOL,22.0952915,90.1120696,✅ Valid
MODDHO CHANDRA JUNIOR HIGH SCHOOL,23.1442546,90.6670491,✅ Valid
CHOTO BOGI COMDECA GIRLS SCHOOL,22.1576778,90.1207363,✅ Valid
DAKSHIN TAKTABUIA SECONDARY SCHOOL,22.1546912,90.1056242,✅ Valid
UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,23.4797563,91.0582223,✅ Valid
PANCHAKORALIA GIRLS  HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
KUKUA IDEAL JUNIOR GIRLS SCHOOL,22.9616434,88.9025567,✅ Valid
TALUKDERPARA HIGH SCHOOL,23.2098787,90.3503334,✅ Valid
APATUNNESA JUNIOR ACADEMY,22.1614926,89.9626194,✅ Valid
KARAIBARIA ETIM MANJEEL GIRLS DAKHIL MADRASA,23.6710932,90.3825393,✅ Valid
WEST CHILA AMINIA FAZIL MADRASAH,23.6539762,89.6705533,✅ Valid
HARIN KHOLA C.N.A DAKHIL MADRASAH,21.9324263,90.1123547,✅ Valid
MOHAMMADPUR MAHMUDIA DAKHIL MADRASAH,22.102646,90.2274802,✅ Valid
TALTALI CHOTO BHAI JORA SHALEHIA ALIM MADRASAH,22.9729265,90.2279236,✅ Valid
AMTALI BONDER HOSAINIA FAZIL MADRASHA,22.1397338,90.2281648,✅ Valid
GAZIPUR SENIOR FAZIL (B.A)  MADRASHA,24.272387,90.3498603,✅ Valid
KUTUBPUR FAZIL MADRASHA,22.1605051,90.1200636,✅ Valid
UTTAR KALAMPUR HATEMMIA DAKHIL MADRASA,22.2559763,90.2841033,✅ Valid
ISLAMPUR  HASHANIA  DAKHIL  MADRASHA,22.0390074,90.2757046,✅ Valid
MOHISHKATA NESARIA DAKHIL MADRASA,22.0216842,89.9487797,✅ Valid
MADHYA TARIKATA DAKHIL MADRASA,22.0216842,89.9487797,✅ Valid
DAKKHIN  TAKTA BUNIA RAHMIA DAKHIL MADRASA,22.1076846,90.3192952,✅ Valid
GULISHAKHALI DAKHIL MDRASHA,22.2236298,90.2399206,✅ Valid
BALIATALI CHARAKGACHHIA DAKHIL MADRASHA,22.0480131,90.1863976,✅ Valid
ZAKIR TABAK SALEHIA DAKHIL MADRASHA,22.2636106,90.1433198,✅ Valid
UTTAR KATHALIA DAKHIL MADRASAH,22.1493539,90.331852,✅ Valid
SOBHANPARA DAKHIL MADRASAH,23.7654616,90.5070955,✅ Valid
PURBA KEWABUNIA AKBARIA DAKHIL MADRASAH,22.1338216,90.2362105,✅ Valid
PURBA KACHUPATRA SALEHIA DAKHIL MADRASAH,22.0480131,90.1863976,✅ Valid
TEPURA AHMADIA DAKHIL MADRASA,22.1177831,90.3284921,✅ Valid
AMRAGACHIA SHALEHIA DAKHIL AMDRASAH,22.0216675,89.9488577,✅ Valid
RAHMATPUR DAKHIL MADRASAH,22.1716894,90.26357,✅ Valid
PANCHAKORALIA BAZAR BABU ALI DAKHIL MADRASHA,22.080834,90.1551658,✅ Valid
PURBA PATAKATA MEHER ALI SENIOR MADRASHA,23.7064488,90.5220762,✅ Valid
GHOP KHALI AL-AMIN DAKHIL MADRASAH,22.0931903,90.1743865,✅ Valid
UTTAR TEPURA ALAHAI DAKHIL MADRASA,22.1177831,90.3284921,✅ Valid
KARAIBARIA DARUSSUNAT DAKHIL MADRASA,22.4631596,89.9134755,✅ Valid
GHATKHALI AMINUDDIN GIRLS ALIM MADRASHA,22.1650212,90.2512777,✅ Valid
HARIDRABARIA D.S. DAKHIL MADRASHA,23.7654616,90.5070955,✅ Valid
KALAGACHIA ABDUL GANI DAKHIL MADRASHA,23.7283833,89.177742,✅ Valid
TALTALI SALEHIA ISLAMIA ALIM MADRASHA,21.9785262,90.0842207,✅ Valid
"ALHAJ MD. SHAMIM AHSAN DAKHIL MADRASAH, MOHISDANGA",22.1187582,90.2597875,✅ Valid
UTTAR KALAMPUR NURANI BALIKA DAKHIL MADRASHA,22.2526978,90.2810786,✅ Valid
TAKTABUNIA NESARIA DAKHIL MADRASA,22.0216842,89.9487797,✅ Valid
N.M.M. AMZADIA ALIM MADRASHA,22.1595423,90.1157453,✅ Valid
UTTAR PASCHIM TIAKHALI KALAMIA DAKHIL MADRASHA,22.1493539,90.331852,✅ Valid
CHOTO BOGI GABTALI DAKHIL MADRASAH,22.935175,90.0753925,✅ Valid
ABDUR GAFUR DAKHIL MADRASAH,22.0589515,90.1191447,✅ Valid
"SOUTH JARAHALI S, DAKHIL MADRASHA",22.2636106,90.1433198,✅ Valid
CHAWRA NESARIA SENIOR ALIM MADRASAH,22.1630723,90.2424043,✅ Valid
TALTALI  DEGREE  COLLEGE,21.9926483,90.0848935,✅ Valid
EUNUS ALI KHAN DEGREE COLLEGE,22.1605051,90.1200636,✅ Valid
